[VAMS][2014-07-07 20:03:18,729] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(28)
[VAMS][2014-07-07 20:03:18,793] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(87)
[VAMS][2014-07-07 20:03:21,429] ERROR | start server is errorAddress already in use: bind | [main] org.huangxu.service.Server.startServer(108)
[VAMS][2014-07-07 20:03:51,508] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(28)
[VAMS][2014-07-07 20:03:51,508] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(87)
[VAMS][2014-07-07 20:03:52,180] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(106)
[VAMS][2014-07-07 20:05:51,115] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(28)
[VAMS][2014-07-07 20:05:51,115] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(88)
[VAMS][2014-07-08 10:31:46,013] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-08 10:31:46,028] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 17:23:09,037] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 17:23:09,168] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 17:27:18,840] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 17:27:18,840] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 17:38:02,233] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 17:38:02,233] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 17:39:24,914] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 17:39:24,914] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:00:30,371] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:00:30,371] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:07:03,593] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:07:03,593] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:08:04,454] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:08:04,464] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:12:36,982] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:12:36,992] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:13:45,941] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:13:45,951] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:17:57,230] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-07-16 18:17:57,240] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-07-16 18:31:33,977] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
[VAMS][2014-07-16 18:47:54,456] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
[VAMS][2014-08-31 12:36:56,834] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
[VAMS][2014-08-31 12:38:04,026] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
[VAMS][2014-08-31 12:38:44,743] INFO | the session is created ! | [NioProcessor-2] org.huangxu.service.ServerHandler.sessionCreated(14)
[VAMS][2014-08-31 12:38:44,743] INFO | the session is opened ! | [NioProcessor-2] org.huangxu.service.ServerHandler.sessionOpened(19)
[VAMS][2014-08-31 12:38:44,758] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-08-31 12:38:44,775] ERROR | the handler is exception +org.apache.mina.core.buffer.BufferDataException: dataLength: 808464432 (Hexdump: 30 30 30 30 34 37 31 30 30 30 35 31 30 31 31 30 31 39 39 32 30 31 32 30 39 32 32 32 32 34 30 30 30 30 30 32 30 31 33 30 37 30 37 31 36 30 35) | [NioProcessor-2] org.huangxu.service.ServerHandler.exceptionCaught(37)
[VAMS][2014-08-31 12:39:06,272] ERROR | the handler is exception +An existing connection was forcibly closed by the remote host | [NioProcessor-2] org.huangxu.service.ServerHandler.exceptionCaught(37)
[VAMS][2014-08-31 12:39:06,272] INFO | the session is closed ! | [NioProcessor-2] org.huangxu.service.ServerHandler.sessionClosed(25)
[VAMS][2014-08-31 14:01:25,994] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
[VAMS][2014-08-31 14:10:22,655] ERROR | Could not start services. Status is: false | [main] org.huangxu.service.Server.startService(31)
[VAMS][2014-08-31 14:10:22,670] ERROR | Can't start service ! | [main] org.huangxu.service.Server.init(91)
[VAMS][2014-08-31 14:11:12,249] INFO | server start success the port is 9998 | [main] org.huangxu.service.Server.startServer(128)
