[VAMS][2014-05-19 15:44:02,487] INFO | server start success the port is 3305 | [main] com.huangxu.mina.Demo1Server.main(33)
[VAMS][2014-05-19 15:44:48,493] INFO | server connecting  the client | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:44:48,525] INFO | server to  the client is open ！ | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:44:58,665] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:44:59,243] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:44:59,461] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:44:59,633] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:44:59,789] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:00,851] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:00,851] INFO | server accept data is aaaa | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:45:00,961] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:45:11,101] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:45:16,718] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:16,875] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:17,515] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:18,404] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:18,404] INFO | server accept data is aaa | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:45:18,404] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:45:24,957] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:25,129] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:25,317] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:25,457] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:26,143] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:45:26,143] INFO | server accept data is gggg | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
